fips,county,state_name,state_abbr,svi,risk,ml_risk
09150,Northeastern Connecticut Planning Region,Connecticut,CT,0.2409,0.0723,0.0
09160,Northwest Hills Planning Region,Connecticut,CT,0.2727,0.0818,0.0
09170,South Central Connecticut Planning Region,Connecticut,CT,0.6637,0.1991,0.0
09180,Southeastern Connecticut Planning Region,Connecticut,CT,0.4865,0.146,0.0
09190,Western Connecticut Planning Region,Connecticut,CT,0.4664,0.1399,0.0
10001,Kent County,Delaware,DE,0.8151,0.2445,0.0
10003,New Castle County,Delaware,DE,0.5132,0.154,0.0
10005,Sussex County,Delaware,DE,0.5183,0.1555,0.0
11001,District of Columbia,District of Columbia,DC,0.6262,0.1879,0.0
12001,Alachua County,Florida,FL,0.6099,0.183,0.0
12003,Baker County,Florida,FL,0.6188,0.1856,0.0
12005,Bay County,Florida,FL,0.7407,0.9222,1.0
12007,Bradford County,Florida,FL,0.8867,0.266,0.0
12009,Brevard County,Florida,FL,0.4817,0.1445,0.0
12011,Broward County,Florida,FL,0.7814,0.2344,0.0
12013,Calhoun County,Florida,FL,0.8756,0.9627,1.0
12015,Charlotte County,Florida,FL,0.5953,0.1786,0.0
12017,Citrus County,Florida,FL,0.5698,0.1709,0.0
12019,Clay County,Florida,FL,0.3649,0.1095,0.0
12021,Collier County,Florida,FL,0.6141,0.1842,0.0
12023,Columbia County,Florida,FL,0.9138,0.2741,0.0
12027,DeSoto County,Florida,FL,0.9981,0.2994,0.0
12029,Dixie County,Florida,FL,0.7719,0.2316,0.0
12031,Duval County,Florida,FL,0.7935,0.238,0.0
12033,Escambia County,Florida,FL,0.839,0.2517,0.0
12035,Flagler County,Florida,FL,0.3121,0.0936,0.0
12037,Franklin County,Florida,FL,0.9017,0.6205,0.5
12039,Gadsden County,Florida,FL,0.9742,0.2923,0.0
12041,Gilchrist County,Florida,FL,0.7337,0.2201,0.0
12043,Glades County,Florida,FL,0.9058,0.2717,0.0
12045,Gulf County,Florida,FL,0.7082,0.2125,0.0
12047,Hamilton County,Florida,FL,0.9803,0.2941,0.0
12049,Hardee County,Florida,FL,0.993,0.2979,0.0
12051,Hendry County,Florida,FL,0.9946,0.2984,0.0
12053,Hernando County,Florida,FL,0.6602,0.8981,1.0
12055,Highlands County,Florida,FL,0.8673,0.2602,0.0
12057,Hillsborough County,Florida,FL,0.7789,0.2337,0.0
